,Effect S,Effect Sbar,Effect F,Power,P(Reject F),P(Reject S),P(Select F),P(Select S),P(Select 1 set),P(Enrichment)
1,0.0,0.0,0.0,0.0154,0.00842,0.0124699995,0.93069,0.93116,0.13814999,0.06931001
2,0.0,0.1,0.046000000000000006,0.061869998,0.058939997,0.01898,0.98234,0.78178996,0.23586999,0.017660022
3,0.0,0.2,0.09200000000000001,0.2386,0.23775,0.02424,0.99661,0.54525,0.45814,0.0033900142
4,0.049999999999999996,0.0,0.027,0.06596,0.02866,0.0598,0.87166,0.96480995,0.16352999,0.12834
5,0.049999999999999996,0.1,0.07300000000000001,0.15122999,0.13527,0.07563,0.96001,0.86306,0.17693,0.039990008
6,0.049999999999999996,0.2,0.11900000000000001,0.39804,0.39376,0.091579996,0.99132997,0.66747,0.3412,0.008670032
7,0.09999999999999999,0.0,0.054,0.19779,0.07474,0.18818,0.78524,0.98363,0.23112999,0.21476
8,0.09999999999999999,0.1,0.1,0.31234,0.25935,0.21358,0.92164,0.92054,0.15782,0.07836002
9,0.09999999999999999,0.2,0.14600000000000002,0.58088,0.56536996,0.24112,0.97906,0.77380997,0.24712999,0.020940006
10,0.15,0.0,0.081,0.41693,0.14441,0.40811,0.67495996,0.99293,0.33211,0.32504004
11,0.15,0.1,0.127,0.52601,0.40377,0.43576,0.8624,0.95857,0.17903,0.1376
12,0.15,0.2,0.17300000000000001,0.75429,0.71448,0.47173998,0.95634997,0.8584,0.18525,0.04365003
13,0.19999999999999998,0.0,0.108,0.66199,0.21553999,0.65524,0.54934996,0.99739,0.45325997,0.45065004
14,0.19999999999999998,0.1,0.154,0.73854,0.51908,0.67785996,0.77858,0.97999996,0.24142,0.22141999
15,0.19999999999999998,0.2,0.2,0.88413,0.80421,0.71059996,0.91888,0.91866,0.16246,0.081120014
16,0.24999999999999997,0.0,0.13499999999999998,0.85072,0.24748999,0.84774,0.4165,0.99906,0.58444,0.5835
17,0.24999999999999997,0.1,0.181,0.89,0.55891,0.86304,0.673,0.99118,0.33582,0.32700002
18,0.24999999999999997,0.2,0.22699999999999998,0.95711,0.81776,0.88466,0.86089,0.95794,0.18117,0.13911003
19,0.3,0.0,0.162,0.95251995,0.22702,0.95146996,0.29163998,0.99966997,0.70869,0.70836
20,0.3,0.1,0.20800000000000002,0.96604997,0.51159996,0.95811,0.5494,0.99679,0.45380998,0.45060003
21,0.3,0.2,0.254,0.98859,0.76554,0.96748,0.77717996,0.98012996,0.24269,0.22282004
